年月,簡稱,單月營收(千元),簡稱,單月營收(千元),台銀利率
202005,大成         ,6059697,卜蜂         ,1803246,2.366
202006,大成         ,6450520,卜蜂         ,1772694,2.366
202007,大成         ,6397684,卜蜂         ,1884932,2.366
202008,大成         ,6771132,卜蜂         ,1892166,2.366
202009,大成         ,7188625,卜蜂         ,1920517,2.366
202010,大成         ,7578191,卜蜂         ,1913473,2.366
202011,大成         ,7431123,卜蜂         ,1851586,2.366
202012,大成         ,8214226,卜蜂         ,2057868,2.366
202101,大成         ,8480630,卜蜂         ,2037460,2.366
202102,大成         ,5817609,卜蜂         ,1651502,2.366
202103,大成         ,8072006,卜蜂         ,2030023,2.366
202104,大成         ,9053195,卜蜂         ,1997700,2.366
202105,大成         ,8266299,卜蜂         ,2086575,2.366
202106,大成         ,9082135,卜蜂         ,2024955,2.366
202107,大成         ,9150386,卜蜂         ,2147399,2.366
202108,大成         ,7913624,卜蜂         ,2037783,2.366
202109,大成         ,9493296,卜蜂         ,2048288,2.366
202110,大成         ,8186264,卜蜂         ,2086329,2.366
202111,大成         ,8855770,卜蜂         ,2255138,2.366
202112,大成         ,9224406,卜蜂         ,2438193,2.366
202201,大成         ,9956918,卜蜂         ,2672823,2.366
202202,大成         ,7516358,卜蜂         ,2048952,2.366
202203,大成         ,8558697,卜蜂         ,2477639,2.366
202204,大成         ,9182352,卜蜂         ,2192046,2.616
202205,大成         ,8649541,卜蜂         ,2311671,2.616
202206,大成         ,9471082,卜蜂         ,2335487,2.616
202207,大成         ,9161168,卜蜂         ,2400161,2.741
202208,大成         ,10578033,卜蜂         ,2393814,2.741
202209,大成         ,9702507,卜蜂         ,2418414,2.741
202210,大成         ,10031178,卜蜂         ,2364883,2.867
202211,大成         ,10074064,卜蜂         ,2595219,2.867
202212,大成         ,10247364,卜蜂         ,2748111,2.867
202301,大成         ,9191048,卜蜂         ,2369583,2.992
202302,大成         ,8240329,卜蜂         ,2263472,2.992
202303,大成         ,9633956,卜蜂         ,2599015,2.992
202304,大成         ,8940319,卜蜂         ,2470578,3.119
202305,大成         ,9815309,卜蜂         ,2519816,3.119
202306,大成         ,8906040,卜蜂         ,2421623,3.119
202307,大成         ,8904562,卜蜂         ,2360314,3.119
202308,大成         ,10230624,卜蜂         ,2508812,3.119
202309,大成         ,9291296,卜蜂         ,2437231,3.119
202310,大成         ,8992288,卜蜂         ,2382360,3.119
202311,大成         ,9371916,卜蜂         ,2419018,3.119
202312,大成         ,9270160,卜蜂         ,2407927,3.119
202401,大成         ,9474385,卜蜂         ,2504897,3.119
202402,大成         ,7242006,卜蜂         ,2030911,3.119
202403,大成         ,8587702,卜蜂         ,2376299,3.119
202404,大成         ,8589785,卜蜂         ,2198777,3.244
202405,大成         ,8612403,卜蜂         ,2366427,3.244
202406,大成         ,8207756,卜蜂         ,2139781,3.244
202407,大成         ,8506106,卜蜂         ,2322796,3.244
202408,大成         ,9027255,卜蜂         ,2417581,3.244
202409,大成         ,8614876,卜蜂         ,2273593,3.244
202410,大成         ,8604252,卜蜂         ,2457728,3.244
202411,大成         ,8968687,卜蜂         ,2435339,3.244
202412,大成         ,9166173,卜蜂         ,2433129,3.244
202501,大成         ,8684590,卜蜂         ,2331017,3.244
202502,大成         ,8087375,卜蜂         ,2030712,3.244
202503,大成         ,8770327,卜蜂         ,2335353,3.244
202504,大成         ,8722030,卜蜂         ,2386361,3.244
