¤½¥q,Â²ºÙ,¦~¤ë,³æ¤ëÀç¦¬(¤d¤¸),¥h¦~³æ¤ëÀç¦¬(¤d¤¸),³æ¤ëÀç¦¬¦¨ªø²v¢H,³æ¤ëÀç¦¬»P¤W¤ë¤ñ¢H
1215,¤R¸Á         ,202005,1803246,1768590,1.96,-2.63
1215,¤R¸Á         ,202006,1772694,1642385,7.93,-1.69
1215,¤R¸Á         ,202007,1884932,1745142,8.01,6.33
1215,¤R¸Á         ,202008,1892166,1835593,3.08,0.38
1215,¤R¸Á         ,202009,1920517,1808855,6.17,1.5
1215,¤R¸Á         ,202010,1913473,1908232,0.27,-0.37
1215,¤R¸Á         ,202011,1851586,1856161,-0.25,-3.23
1215,¤R¸Á         ,202012,2057868,1833883,12.21,11.14
1215,¤R¸Á         ,202101,2037460,1686306,20.82,-0.99
1215,¤R¸Á         ,202102,1651502,1643656,0.48,-18.94
1215,¤R¸Á         ,202103,2030023,1911231,6.22,22.92
1215,¤R¸Á         ,202104,1997700,1851960,7.87,-1.59
1215,¤R¸Á         ,202105,2086575,1803246,15.71,4.45
1215,¤R¸Á         ,202106,2024955,1772694,14.23,-2.95
1215,¤R¸Á         ,202107,2147399,1884932,13.92,6.05
1215,¤R¸Á         ,202108,2037783,1892166,7.7,-5.1
1215,¤R¸Á         ,202109,2048288,1920517,6.65,0.52
1215,¤R¸Á         ,202110,2086329,1913473,9.03,1.86
1215,¤R¸Á         ,202111,2255138,1851586,21.79,8.09
1215,¤R¸Á         ,202112,2438193,2057868,18.48,8.12
1215,¤R¸Á         ,202201,2672823,2037460,31.18,9.62
1215,¤R¸Á         ,202202,2048952,1651502,24.07,-23.34
1215,¤R¸Á         ,202203,2477639,2030023,22.05,20.92
1215,¤R¸Á         ,202204,2192046,1997700,9.73,-11.53
1215,¤R¸Á         ,202205,2311671,2086575,10.79,5.46
1215,¤R¸Á         ,202206,2335487,2024955,15.34,1.03
1215,¤R¸Á         ,202207,2400161,2147399,11.77,2.77
1215,¤R¸Á         ,202208,2393814,2037783,17.47,-0.26
1215,¤R¸Á         ,202209,2418414,2048288,18.07,1.03
1215,¤R¸Á         ,202210,2364883,2086329,13.35,-2.21
1215,¤R¸Á         ,202211,2595219,2255138,15.08,9.74
1215,¤R¸Á         ,202212,2748111,2438193,12.71,5.89
1215,¤R¸Á         ,202301,2369583,2672823,-11.35,-13.77
1215,¤R¸Á         ,202302,2263472,2048952,10.47,-4.48
1215,¤R¸Á         ,202303,2599015,2477639,4.9,14.82
1215,¤R¸Á         ,202304,2470578,2192046,12.71,-4.94
1215,¤R¸Á         ,202305,2519816,2311671,9,1.99
1215,¤R¸Á         ,202306,2421623,2335487,3.69,-3.9
1215,¤R¸Á         ,202307,2360314,2400161,-1.66,-2.53
1215,¤R¸Á         ,202308,2508812,2393814,4.8,6.29
1215,¤R¸Á         ,202309,2437231,2418414,0.78,-2.85
1215,¤R¸Á         ,202310,2382360,2364883,0.74,-2.25
1215,¤R¸Á         ,202311,2419018,2595219,-6.79,1.54
1215,¤R¸Á         ,202312,2407927,2748111,-12.38,-0.46
1215,¤R¸Á         ,202401,2504897,2369583,5.71,4.03
1215,¤R¸Á         ,202402,2030911,2263472,-10.27,-18.92
1215,¤R¸Á         ,202403,2376299,2599015,-8.57,17.01
1215,¤R¸Á         ,202404,2198777,2470578,-11,-7.47
1215,¤R¸Á         ,202405,2366427,2519816,-6.09,7.62
1215,¤R¸Á         ,202406,2139781,2421623,-11.64,-9.58
1215,¤R¸Á         ,202407,2322796,2360314,-1.59,8.55
1215,¤R¸Á         ,202408,2417581,2508812,-3.64,4.08
1215,¤R¸Á         ,202409,2273593,2437231,-6.71,-5.96
1215,¤R¸Á         ,202410,2457728,2382360,3.16,8.1
1215,¤R¸Á         ,202411,2435339,2419018,0.67,-0.91
1215,¤R¸Á         ,202412,2433129,2407927,1.05,-0.09
1215,¤R¸Á         ,202501,2331017,2504897,-6.94,-4.2
1215,¤R¸Á         ,202502,2030712,2030911,-0.01,-12.88
1215,¤R¸Á         ,202503,2335353,2376299,-1.72,15
1215,¤R¸Á         ,202504,2386361,2198777,8.53,2.18
