ÃÒ¨é¥N½X,Â²ºÙ,¦~¤ë,¥«­È(¦Ê¸U¤¸)
1215   ,¤R¸Á         ,202005,       19402
1215   ,¤R¸Á         ,202006,       18277
1215   ,¤R¸Á         ,202007,       17955
1215   ,¤R¸Á         ,202008,       18277
1215   ,¤R¸Á         ,202009,       17795
1215   ,¤R¸Á         ,202010,       18411
1215   ,¤R¸Á         ,202011,       19134
1215   ,¤R¸Á         ,202012,       19402
1215   ,¤R¸Á         ,202101,       18974
1215   ,¤R¸Á         ,202102,       19429
1215   ,¤R¸Á         ,202103,       20528
1215   ,¤R¸Á         ,202104,       21305
1215   ,¤R¸Á         ,202105,       21332
1215   ,¤R¸Á         ,202106,       21600
1215   ,¤R¸Á         ,202107,       21064
1215   ,¤R¸Á         ,202108,       21386
1215   ,¤R¸Á         ,202109,       21466
1215   ,¤R¸Á         ,202110,       21439
1215   ,¤R¸Á         ,202111,       21680
1215   ,¤R¸Á         ,202112,       21600
1215   ,¤R¸Á         ,202201,       22190
1215   ,¤R¸Á         ,202202,       22672
1215   ,¤R¸Á         ,202203,       21788
1215   ,¤R¸Á         ,202204,       21761
1215   ,¤R¸Á         ,202205,       21922
1215   ,¤R¸Á         ,202206,       21680
1215   ,¤R¸Á         ,202207,       21037
1215   ,¤R¸Á         ,202208,       23760
1215   ,¤R¸Á         ,202209,       23436
1215   ,¤R¸Á         ,202210,       22316
1215   ,¤R¸Á         ,202211,       23288
1215   ,¤R¸Á         ,202212,       23082
1215   ,¤R¸Á         ,202301,       23288
1215   ,¤R¸Á         ,202302,       23701
1215   ,¤R¸Á         ,202303,       24497
1215   ,¤R¸Á         ,202304,       26531
1215   ,¤R¸Á         ,202305,       26472
1215   ,¤R¸Á         ,202306,       27710
1215   ,¤R¸Á         ,202307,       27533
1215   ,¤R¸Á         ,202308,       28595
1215   ,¤R¸Á         ,202309,       27740
1215   ,¤R¸Á         ,202310,       26678
1215   ,¤R¸Á         ,202311,       28270
1215   ,¤R¸Á         ,202312,       28329
1215   ,¤R¸Á         ,202401,       28388
1215   ,¤R¸Á         ,202402,       28624
1215   ,¤R¸Á         ,202403,       33016
1215   ,¤R¸Á         ,202404,       31248
1215   ,¤R¸Á         ,202405,       32132
1215   ,¤R¸Á         ,202406,       31100
1215   ,¤R¸Á         ,202407,       29921
1215   ,¤R¸Á         ,202408,       29184
1215   ,¤R¸Á         ,202409,       28801
1215   ,¤R¸Á         ,202410,       28742
1215   ,¤R¸Á         ,202411,       29184
1215   ,¤R¸Á         ,202412,       26620
1215   ,¤R¸Á         ,202501,       27357
1215   ,¤R¸Á         ,202502,       30216
1215   ,¤R¸Á         ,202503,       29037
1215   ,¤R¸Á         ,202504,       29479
1215   ,¤R¸Á         ,202505,       32280
