Â²ºÙ,¦~¤ë,¶}½L»ù(¤¸),³Ì°ª»ù(¤¸),³Ì§C»ù(¤¸),¦¬½L»ù(¤¸),³ø¹S²v¢H_¤ë,¥»¯q¤ñ-TSE,²{ª÷ªÑ§Q²v
¤R¸Á         ,202005,62.8,74.2,62.2,72.4,14.7386,13.33,5.52
¤R¸Á         ,202006,72.4,76,67,68.2,-0.2021,12.56,5.87
¤R¸Á         ,202007,68.3,69.7,65.6,67,-1.7597,12.34,5.97
¤R¸Á         ,202008,66.8,73.8,65.7,68.2,1.7908,11.92,5.87
¤R¸Á         ,202009,67.8,68.8,65,66.4,-2.6392,11.61,6.02
¤R¸Á         ,202010,66.5,69.3,66.2,68.7,3.4638,12.01,5.82
¤R¸Á         ,202011,68.9,72.9,68.6,71.4,3.93,10.85,5.6
¤R¸Á         ,202012,71.4,74,70,72.4,1.4006,11,5.52
¤R¸Á         ,202101,73.5,75,70.2,70.8,-2.2101,10.76,5.65
¤R¸Á         ,202102,70.8,73.3,70.4,72.5,2.401,11.02,5.52
¤R¸Á         ,202103,73.1,76.8,72.5,76.6,5.6552,12.39,5.22
¤R¸Á         ,202104,76.6,82.4,74.7,79.5,3.786,12.86,5.03
¤R¸Á         ,202105,80.2,81.8,73.5,79.6,0.1258,11.79,5.65
¤R¸Á         ,202106,79.9,86.8,79.1,80.6,6.8133,11.94,5.58
¤R¸Á         ,202107,80,81.3,77.7,78.6,-2.4814,11.64,5.73
¤R¸Á         ,202108,78.7,80.3,76.4,79.8,1.5267,12.31,5.64
¤R¸Á         ,202109,80,82.4,79,80.1,0.3757,12.36,5.62
¤R¸Á         ,202110,79.6,80.5,78.1,80,-0.125,12.35,5.63
¤R¸Á         ,202111,80.2,84.2,79.1,80.9,1.1249,14.63,5.56
¤R¸Á         ,202112,80.5,81,79.7,80.6,-0.3709,14.58,5.58
¤R¸Á         ,202201,80.8,83.5,80.4,82.8,2.7296,14.97,5.43
¤R¸Á         ,202202,83.1,86,82.9,84.6,2.1739,15.3,5.32
¤R¸Á         ,202203,84.8,85.6,80.5,81.3,-3.9007,16.07,5.54
¤R¸Á         ,202204,81.2,84.9,79.2,81.2,-0.1228,16.05,5.54
¤R¸Á         ,202205,81.1,82.7,78.5,81.8,0.7389,16.9,3.67
¤R¸Á         ,202206,81.8,83,80.5,80.9,-1.1005,16.71,3.71
¤R¸Á         ,202207,80.9,81,74.2,78.5,0.7558,16.22,3.82
¤R¸Á         ,202208,78.8,84.1,77.2,80.6,12.943,15.5,3.38
¤R¸Á         ,202209,80.3,81.2,78.1,79.5,-1.3648,15.29,3.43
¤R¸Á         ,202210,79.4,80,74.3,75.7,-4.7798,14.56,3.6
¤R¸Á         ,202211,76,80.5,75.5,79,4.3594,15.67,3.45
¤R¸Á         ,202212,79.4,79.9,76.9,78.3,-0.8863,15.54,3.48
¤R¸Á         ,202301,78.3,79.8,78,79,0.8941,15.67,3.45
¤R¸Á         ,202302,78.8,80.6,78.5,80.4,1.7723,15.95,3.39
¤R¸Á         ,202303,83.1,88.4,81,83.1,3.3581,15.74,3.28
¤R¸Á         ,202304,83.8,97.3,83.6,90,8.3031,17.05,3.89
¤R¸Á         ,202305,91,103,89.1,89.8,-0.2222,16.04,3.9
¤R¸Á         ,202306,89.8,97.5,89.6,94,4.677,16.79,3.72
¤R¸Á         ,202307,93.9,95.5,90,93.4,-0.6382,16.68,3.75
¤R¸Á         ,202308,94.3,98.3,91.7,97,3.8545,16.22,3.61
¤R¸Á         ,202309,97,101,94.1,94.1,0.4926,15.74,3.72
¤R¸Á         ,202310,94.2,95.4,90.4,90.5,-3.8259,15.13,3.87
¤R¸Á         ,202311,90.6,96.1,90.6,95.9,5.9671,13.9,3.65
¤R¸Á         ,202312,96,97.2,94,96.1,0.2087,13.93,3.64
¤R¸Á         ,202401,95.8,96.8,93.9,96.3,0.2079,13.96,3.63
¤R¸Á         ,202402,96.3,97.7,94.8,97.1,0.8307,14.07,3.6
¤R¸Á         ,202403,97.1,112.5,97,112,15.3447,14.55,3.13
¤R¸Á         ,202404,111.5,114,102,106,-5.3572,13.77,3.3
¤R¸Á         ,202405,106,109.5,103.5,109,2.8301,14.49,5.05
¤R¸Á         ,202406,107,115,103,105.5,1.8834,14.03,5.21
¤R¸Á         ,202407,105,105,100.5,101.5,-3.7915,13.5,5.42
¤R¸Á         ,202408,102.5,102.5,94.3,99,-2.4629,14.64,5.56
¤R¸Á         ,202409,99,102,95.2,97.7,-1.3128,14.45,5.63
¤R¸Á         ,202410,97.7,101.5,96.2,97.5,-0.2049,14.42,5.64
¤R¸Á         ,202411,97.6,100.5,96.1,99,1.5385,15.71,5.56
¤R¸Á         ,202412,99,101.5,90.2,90.3,-8.7878,14.33,6.09
¤R¸Á         ,202501,90.5,93.4,90.5,92.8,2.7687,14.73,5.93
¤R¸Á         ,202502,92.6,103,92.6,102.5,10.4523,15.65,5.37
¤R¸Á         ,202503,102.5,104.5,97.9,98.5,-3.9025,15.04,4.57
¤R¸Á         ,202504,98.8,102,90.5,100,1.5228,15.27,4.5
¤R¸Á         ,202505,100,116,99.7,112,12.0002,14.6,4.02
