公司,簡稱,年月,單月營收(千元),去年單月營收(千元),單月營收成長率％,單月營收與上月比％
1210,大成         ,202005,6059697,6390612,-5.18,-1.95
1210,大成         ,202006,6450520,6144976,4.97,6.45
1210,大成         ,202007,6397684,6491269,-1.44,-0.82
1210,大成         ,202008,6771132,6927433,-2.26,5.84
1210,大成         ,202009,7188625,6685601,7.52,6.17
1210,大成         ,202010,7578191,6863541,10.41,5.42
1210,大成         ,202011,7431123,6902836,7.65,-1.94
1210,大成         ,202012,8214226,6971663,17.82,10.54
1210,大成         ,202101,8480630,6175533,37.33,3.24
1210,大成         ,202102,5817609,5847338,-0.51,-31.4
1210,大成         ,202103,8072006,6233854,29.49,38.75
1210,大成         ,202104,9053195,6180161,46.49,12.16
1210,大成         ,202105,8266299,6059697,36.41,-8.69
1210,大成         ,202106,9082135,6450520,40.8,9.87
1210,大成         ,202107,9150386,6397684,43.03,0.75
1210,大成         ,202108,7913624,6771132,16.87,-13.52
1210,大成         ,202109,9493296,7188625,32.06,19.96
1210,大成         ,202110,8186264,7578191,8.02,-13.77
1210,大成         ,202111,8855770,7431123,19.17,8.18
1210,大成         ,202112,9224406,8214226,12.3,4.16
1210,大成         ,202201,9956918,8480630,17.41,7.94
1210,大成         ,202202,7516358,5817609,29.2,-24.51
1210,大成         ,202203,8558697,8072006,6.03,13.87
1210,大成         ,202204,9182352,9053195,1.43,7.29
1210,大成         ,202205,8649541,8266299,4.64,-5.8
1210,大成         ,202206,9471082,9082135,4.28,9.5
1210,大成         ,202207,9161168,9150386,0.12,-3.27
1210,大成         ,202208,10578033,7913624,33.67,15.47
1210,大成         ,202209,9702507,9493296,2.2,-8.28
1210,大成         ,202210,10031178,8186264,22.54,3.39
1210,大成         ,202211,10074064,8855770,13.76,0.43
1210,大成         ,202212,10247364,9224406,11.09,1.72
1210,大成         ,202301,9191048,9956918,-7.69,-10.31
1210,大成         ,202302,8240329,7516358,9.63,-10.34
1210,大成         ,202303,9633956,8558697,12.56,16.91
1210,大成         ,202304,8940319,9182352,-2.64,-7.2
1210,大成         ,202305,9815309,8649541,13.48,9.79
1210,大成         ,202306,8906040,9471082,-5.97,-9.26
1210,大成         ,202307,8904562,9161168,-2.8,-0.02
1210,大成         ,202308,10230624,10578033,-3.28,14.89
1210,大成         ,202309,9291296,9702507,-4.24,-9.18
1210,大成         ,202310,8992288,10031178,-10.36,-3.22
1210,大成         ,202311,9371916,10074064,-6.97,4.22
1210,大成         ,202312,9270160,10247364,-9.54,-1.09
1210,大成         ,202401,9474385,9191048,3.08,2.2
1210,大成         ,202402,7242006,8240329,-12.12,-23.56
1210,大成         ,202403,8587702,9633956,-10.86,18.58
1210,大成         ,202404,8589785,8940319,-3.92,0.02
1210,大成         ,202405,8612403,9815309,-12.26,0.26
1210,大成         ,202406,8207756,8906040,-7.84,-4.7
1210,大成         ,202407,8506106,8904562,-4.47,3.63
1210,大成         ,202408,9027255,10230624,-11.76,6.13
1210,大成         ,202409,8614876,9291296,-7.28,-4.57
1210,大成         ,202410,8604252,8992288,-4.32,-0.12
1210,大成         ,202411,8968687,9371916,-4.3,4.24
1210,大成         ,202412,9166173,9270160,-1.12,2.2
1210,大成         ,202501,8684590,9474385,-8.34,-5.25
1210,大成         ,202502,8087375,7242006,11.67,-6.88
1210,大成         ,202503,8770327,8587702,2.13,8.44
1210,大成         ,202504,8722030,8589785,1.54,-0.55
