證券代碼,簡稱,年月,市值(百萬元)
1210   ,大成         ,202005,       35576
1210   ,大成         ,202006,       35286
1210   ,大成         ,202007,       38140
1210   ,大成         ,202008,       37437
1210   ,大成         ,202009,       34955
1210   ,大成         ,202010,       37189
1210   ,大成         ,202011,       38347
1210   ,大成         ,202012,       42029
1210   ,大成         ,202101,       39919
1210   ,大成         ,202102,       41367
1210   ,大成         ,202103,       45173
1210   ,大成         ,202104,       49558
1210   ,大成         ,202105,       47737
1210   ,大成         ,202106,       49723
1210   ,大成         ,202107,       49723
1210   ,大成         ,202108,       46102
1210   ,大成         ,202109,       46784
1210   ,大成         ,202110,       45761
1210   ,大成         ,202111,       44312
1210   ,大成         ,202112,       45505
1210   ,大成         ,202201,       44483
1210   ,大成         ,202202,       46187
1210   ,大成         ,202203,       46102
1210   ,大成         ,202204,       44994
1210   ,大成         ,202205,       42097
1210   ,大成         ,202206,       40520
1210   ,大成         ,202207,       41671
1210   ,大成         ,202208,       44067
1210   ,大成         ,202209,       39817
1210   ,大成         ,202210,       35970
1210   ,大成         ,202211,       39862
1210   ,大成         ,202212,       40757
1210   ,大成         ,202301,       41428
1210   ,大成         ,202302,       45275
1210   ,大成         ,202303,       45723
1210   ,大成         ,202304,       45902
1210   ,大成         ,202305,       46975
1210   ,大成         ,202306,       47691
1210   ,大成         ,202307,       53507
1210   ,大成         ,202308,       48854
1210   ,大成         ,202309,       48138
1210   ,大成         ,202310,       45454
1210   ,大成         ,202311,       50375
1210   ,大成         ,202312,       52344
1210   ,大成         ,202401,       51628
1210   ,大成         ,202402,       52254
1210   ,大成         ,202403,       51628
1210   ,大成         ,202404,       51181
1210   ,大成         ,202405,       51270
1210   ,大成         ,202406,       51181
1210   ,大成         ,202407,       51449
1210   ,大成         ,202408,       47960
1210   ,大成         ,202409,       46081
1210   ,大成         ,202410,       45812
1210   ,大成         ,202411,       47691
1210   ,大成         ,202412,       46081
1210   ,大成         ,202501,       46170
1210   ,大成         ,202502,       49749
1210   ,大成         ,202503,       51628
1210   ,大成         ,202504,       53507
1210   ,大成         ,202505,       58160
