年月,毛豬【規格豬】,白肉雞【屠體】,土雞(公)【屠體】,土雞(母)【屠體】
202005,74.81,123.22,205.79,221.03
202006,76.75,126.1,205.11,223.67
202007,77.6,126.82,205.37,224.76
202008,78.28,130.04,207.2,225.89
202009,71.85,132.07,207.47,226.17
202010,69.96,133.55,207.7,226.29
202011,67.61,133.23,207.87,224.23
202012,70.41,134.65,209.91,227.84
202101,76.46,145.34,215.62,234.47
202102,72.5,147.05,218.87,234.12
202103,69.94,148.86,218.33,234.63
202104,71.43,147.98,215.05,234.02
202105,77.21,146.04,212.47,231.33
202106,82.99,147.56,214.12,231.18
202107,86.2,149.23,218.88,230.9
202108,86.57,150.13,219.9,231.01
202109,77.21,148.83,220.41,230.86
202110,76.42,145.9,220.01,230.85
202111,76.43,146.28,219.75,230.72
202112,75.98,145.35,220.14,230.99
202201,76.51,147.75,224.37,230.56
202202,72.65,156.01,228.18,232.6
202203,75.69,161.17,230.29,233.45
202204,79,161.29,231.11,236.74
202205,84.5,161.38,234.4,241.75
202206,83.39,162.72,233.68,242.8
202207,84.74,162.66,233.22,242.26
202208,84.91,164.87,234.2,244.36
202209,85.83,164.84,234.15,244.53
202210,85.54,164.86,234.53,245.03
202211,86.01,165.14,234.81,245.56
202212,85.79,166.96,236.24,246.53
202301,84.63,170.03,236.9,248.53
202302,83.92,169.48,236.69,248.77
202303,90.65,170.86,240.11,252.66
202304,91.57,178.31,247.21,259.31
202305,90.5,178.39,246.72,258.77
202306,90.68,182.65,245.41,257.43
202307,92.26,185.78,244.95,255.91
202308,96.87,189.01,251.06,261.75
202309,93.92,189.29,252.94,263.62
202310,92.34,188.71,253.52,264.23
202311,89.62,192.11,254.85,263.71
202312,87.98,192.25,254.93,263.76
202401,89.93,192.33,255.45,263.78
202402,87.29,191.63,256.23,264.19
202403,83.33,190.84,255.13,263.39
202404,81.44,191.52,254.63,262.66
202405,88.45,191.36,257.19,264.67
202406,90.71,191.35,255.72,264.57
202407,96.87,186.25,249.02,258.88
202408,97.4,182.08,252.27,261.82
202409,95.29,176.95,251.47,260.54
202410,95.61,173.39,251.66,260.34
202411,95.82,178.15,251.56,260.81
202412,96.88,180.04,251.74,261.29
202501,98.69,180.33,252.65,261.91
202502,95.77,180.69,254.1,262.57
202503,95.31,180.55,253.35,262.23
202504,95.42,180.53,252.86,262.49
